trip_id,user_id,mood_id,title,date,description
1,1,2,"Giornata a Parigi",2024-06-15,"Oggi abbiamo esplorato la Torre Eiffel e passeggiato lungo la Senna. Una giornata davvero emozionante!"
1,1,1,"Louvre e dintorni",2024-06-16,"Visita al Louvre, incredibile vedere così tante opere d'arte famose in un solo posto."
1,1,,"Giro sulla Senna",2024-06-17,"Abbiamo fatto un giro in barca sulla Senna, la vista di Parigi dall'acqua è semplicemente stupenda."
2,1,3,"Prima giornata a Berlino",2023-08-01,"Inizio del viaggio a Berlino, abbiamo visitato la Porta di Brandeburgo e il Muro di Berlino."
2,1,2,"Tiergarten e Reichstag",2023-08-02,"Passeggiata lungo il Tiergarten e visita al Reichstag, un mix perfetto di natura e storia."
2,1,,"East Side Gallery",2023-08-03,"Esplorazione della East Side Gallery, il più lungo tratto rimasto del Muro di Berlino, pieno di arte e storia."
3,1,2,"L'Acropoli di Atene",2023-09-10,"Primo giorno ad Atene, visita all'Acropoli e al Partenone, una vera meraviglia antica."
3,1,,"Quartiere Plaka",2023-09-11,"Giornata dedicata alla scoperta del quartiere di Plaka, con le sue strade strette e piene di negozi caratteristici."
3,1,1,"Museo dell'Acropoli",2023-09-12,"Visita al Museo dell'Acropoli e serata rilassante in una taverna greca con musica dal vivo."
4,1,3,"Arrivo a Lisbona",2023-11-05,"Arrivo a Lisbona, prima passeggiata per il quartiere di Alfama, con i suoi tram e vicoli stretti."
4,1,2,"Torre di Belém",2023-11-06,"Giornata dedicata alla visita della Torre di Belém e del Monastero dos Jerónimos, monumenti di grande bellezza."
4,1,,"Castello di São Jorge",2023-11-07,"Visita al Castello di São Jorge e panorama mozzafiato sulla città dalla cima della collina."
5,2,1,"Esplorazione di Shibuya",2024-01-10,"Primo giorno a Tokyo, esplorazione di Shibuya e attraversamento del famoso incrocio."
5,2,,"Tempio di Asakusa",2024-01-11,"Giornata dedicata alla visita del tempio di Asakusa e al mercato di Nakamise."
5,2,3,"Akihabara",2024-01-12,"Visita al quartiere di Akihabara, il paradiso degli appassionati di elettronica e manga."
